date,season,hometeam,awayteam,fth-goals,fta-goals,ft-result,hth-goals,hta-goals,ht-result,referee,h-shots,a-shots,h-sot,a-sot,h-fouls,a-fouls,h-corners,a-corners,h-yellow,a-yellow,h-red,a-red,display-order,league
1993-08-14,1993-1994,arsenal,coventry,0,3,A,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,aston villa,qpr,4,1,H,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,chelsea,blackburn,1,2,A,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,liverpool,sheffield weds,2,0,H,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,man city,leeds,1,1,D,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,newcastle,tottenham,0,1,A,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,oldham,ipswich,0,3,A,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,sheffield united,swindon,3,1,H,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,southampton,everton,0,2,A,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-14,1993-1994,west ham,wimbledon,0,2,A,,,,,,,,,,,,,,,,,19930814,Premier League
1993-08-15,1993-1994,norwich,man united,0,2,A,,,,,,,,,,,,,,,,,19930815,Premier League
1993-08-16,1993-1994,tottenham,arsenal,0,1,A,,,,,,,,,,,,,,,,,19930816,Premier League
1993-08-17,1993-1994,everton,man city,1,0,H,,,,,,,,,,,,,,,,,19930817,Premier League
1993-08-17,1993-1994,ipswich,southampton,1,0,H,,,,,,,,,,,,,,,,,19930817,Premier League
1993-08-17,1993-1994,leeds,west ham,1,0,H,,,,,,,,,,,,,,,,,19930817,Premier League
1993-08-17,1993-1994,wimbledon,chelsea,1,1,D,,,,,,,,,,,,,,,,,19930817,Premier League
1993-08-18,1993-1994,blackburn,norwich,2,3,A,,,,,,,,,,,,,,,,,19930818,Premier League
1993-08-18,1993-1994,coventry,newcastle,2,1,H,,,,,,,,,,,,,,,,,19930818,Premier League
1993-08-18,1993-1994,man united,sheffield united,3,0,H,,,,,,,,,,,,,,,,,19930818,Premier League
1993-08-18,1993-1994,qpr,liverpool,1,3,A,,,,,,,,,,,,,,,,,19930818,Premier League
1993-08-18,1993-1994,sheffield weds,aston villa,0,0,D,,,,,,,,,,,,,,,,,19930818,Premier League
1993-08-18,1993-1994,swindon,oldham,0,1,A,,,,,,,,,,,,,,,,,19930818,Premier League
1993-08-21,1993-1994,blackburn,oldham,1,0,H,,,,,,,,,,,,,,,,,19930821,Premier League
1993-08-21,1993-1994,coventry,west ham,1,1,D,,,,,,,,,,,,,,,,,19930821,Premier League
1993-08-21,1993-1994,everton,sheffield united,4,2,H,,,,,,,,,,,,,,,,,19930821,Premier League
1993-08-21,1993-1994,ipswich,chelsea,1,0,H,,,,,,,,,,,,,,,,,19930821,Premier League
1993-08-21,1993-1994,leeds,norwich,0,4,A,,,,,,,,,,,,,,,,,19930821,Premier League
1993-08-21,1993-1994,man united,newcastle,1,1,D,,,,,,,,,,,,,,,,,19930821,Premier League
1993-08-21,1993-1994,qpr,southampton,2,1,H,,,,,,,,,,,,,,,,,19930821,Premier League
